CSV-Export;Version: 1.01;Separator: Semicolon

;SENS0500;SENS0500;SENS0500;SENS0500;SENS0500;SENS0500;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50;WR725-50
;2237;2237;2237;2237;2237;2237;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313667;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000313669;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311;2000324311
TimeStamp;ExlSolIrr;IntSolIrr;OpTm;TmpAmb C;TmpMdul C;WindVel m/s;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac;E-Total;Fac;Fehler;h-On;h-Total;Iac-Ist;Ipv;Netz-Ein;Pac;Riso;Seriennummer;Status;Uac;Upv-Ist;Upv-Soll;Zac
hh:mm;W/m^2;W/m^2;h;?C;?C;m/s;kWh;Hz;;h;h;mA;mA;;W;kOhm;;;V;V;V;Ohm;kWh;Hz;;h;h;mA;mA;;W;kOhm;;;V;V;V;Ohm;kWh;Hz;;h;h;mA;mA;;W;kOhm;;;V;V;V;Ohm
00:00;0;1,283;30101,888;-273,17;11,171;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:15;0;1,267;30102,136;-273,17;11,43;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:30;0;1,239;30102,389;-273,17;11,415;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00:45;0;1,467;30102,636;-273,17;11,381;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:00;0;1,304;30102,889;-273,17;11,384;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:15;0;1,444;30103,136;-273,17;11,53;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:30;0;1,739;30103,389;-273,17;11,565;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01:45;0;1,533;30103,635;-273,17;11,739;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:00;0;1,289;30103,883;-273,17;11,801;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:15;0;1,065;30104,136;-273,17;11,726;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:30;0;1,533;30104,384;-273,17;11,674;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02:45;0;1,913;30104,636;-273,17;11,584;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:00;0;1,756;30104,883;-273,17;11,681;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:15;0;1,304;30105,135;-273,17;11,445;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:30;0;1,444;30105,383;-273,17;10,797;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03:45;0;1,522;30105,635;-273,17;9,671;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:00;0;1,533;30105,882;-273,17;9,232;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:15;0;1,739;30106,135;-273,17;9,393;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:30;0;1,511;30106,382;-273,17;9,01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:45;0;1,178;30106,631;-273,17;8,668;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:00;0;1,326;30106,882;-273,17;8,495;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:15;0;1,733;30107,13;-273,17;8,519;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:30;0;1,696;30107,382;-273,17;8,626;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:45;0;1,933;30107,63;-273,17;8,672;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06:00;0;2;30107,882;-273,17;8,632;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
